DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2023-12,125.0122,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-01,125.8835,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-02,126.0322,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-03,126.0215,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-04,126.1586,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-05,126.1296,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-06,126.1084,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-07,126.448,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-08,126.339,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-09,126.8581,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-10,127.0434,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-11,127.0473,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP01,N,_Z,2024-12,127.3725,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,IX,CP045,N,_Z,2014-01,101.864,A,,2015,,2
